order	surface	crate	architecture_state	migration_status	owner	platform_scope	semantic_roles	semantic_actions	paint_authority	host_authority	custom_paint_exception	workbench_fixtures	scenario_evidence	visual_variants	accessibility_evidence	controller_evidence	live_acceptance	resource_evidence	governing_specs
1	ui-examples	nickel-ui	standalone_UiHost	architecture_verified_acceptance_pending	nickel-ui	cross_platform	button,textbox,text	activate,set_value	frame	UiHost	none	core.counter,shared.primitives,shared.collection-states	crates/nickel-ui-workbench/src/main.rs::tests;crates/nickel-ui-workbench/src/fixture_inventory.rs::tests	default,dark,high_contrast,scale_150,lifecycle	fixture_semantics_verified	fixture_controller_verified	required_pending_original_example	workbench_feedback_budget_verified	0125,0126,0128,0129,0130
2	markdown-core	nickel-markdown	library_frame	headless_verified_live_not_applicable	markdown	cross_platform	text,link,image	activate	frame	library	none	markdown.core	crates/nickel-markdown/src/lib.rs::tests;crates/nickel-ui-workbench/src/main.rs::tests	code,table,link,selection	focused_accessibility_verified	focused_keyboard_controller_accessibility_verified	not_applicable_library	focused_resource_checks	0125,0126,0129,0130
3	markdown-viewer	nickel-markdown-ui	standalone_UiHost	architecture_verified_acceptance_pending	markdown	cross_platform	text,link,button,textbox	activate,set_value,scroll	frame	UiHost	none	markdown.viewer	crates/nickel-markdown-ui/src/lib.rs::tests	loading,loaded,error,selection	focused_accessibility_verified	focused_keyboard_controller_accessibility_and_pointer_actions_verified	required_pending_linux_windows_macos	bounded_worker_queue_and_fixture_replacement_verified	0128,0129,0130,0131
4	file-manager	nickel-file	standalone_UiHost_HostAdapter	architecture_verified_acceptance_pending	nickel-file	cross_platform	grid,gridcell,button,textbox,menu,menuitem	activate,context_menu,set_value,dismiss	frame	UiHost_HostAdapter	none	file.browser	crates/nickel-file/src/main.rs::tests	wide,narrow,empty,populated,menu	focused_accessibility_verified	focused_keyboard_controller_accessibility_verified	required_pending_linux_windows_macos_and_actions	suspend_input_ownership_build_scratch_and_fixture_replacement_verified	0125,0126,0127,0128,0129,0130,0132
5	gaze-grid	nickel-gaze	standalone_UiHost	architecture_verified_acceptance_pending	gaze	cross_platform	grid,gridcell,status	activate	frame	UiHost	none	gaze.grid	crates/nickel-gaze/src/bin/nickel-gaze-grid.rs::tests	connected,disconnected,empty,populated	focused_accessibility_verified	focused_controller_verified	required_pending_original_application	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130
6	settings	nickel-settings	standalone_UiHost_HostAdapter	architecture_verified_acceptance_pending	settings	cross_platform	navigation-item,button,switch,slider,option,tab,tabpanel,textbox	activate,select,set_value,increment,decrement,expand,collapse,scroll	frame	UiHost_HostAdapter	none	settings.wide,settings.narrow-rtl	crates/nickel-settings/src/main.rs::tests	wide,narrow,rtl,light,dark,scale	focused_accessibility_verified	focused_pointer_keyboard_controller_accessibility_verified	required_pending_linux_windows_macos_and_hardware	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130,0132
7	shell-runtime	nickel-shell	shell_runtime	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	not_applicable_runtime	global_and_surface_dispatch	frame	UiHost_embedded_adapters	none	shell.runtime	crates/nickel-shell/src/sdl_shell.rs::tests	multi_output,surface_lifecycle	focused_host_lifecycle_verified	focused_controller_dispatch_verified	required_pending_native_shell_platforms	presenter_suspend_close_reopen_and_cache_accounting_verified	0125,0126,0128,0131,0132
8	desktop	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	none	none	frame	UiHost_embedded_adapter	none	shell.desktop	crates/nickel-shell/src/sdl_live_shell.rs::tests	wallpaper,solid_background	decorative_image_semantics_partial	not_applicable_noninteractive	required_pending_multi_output	wallpaper_shrink_bound_and_fixture_replacement_verified	0125,0126,0128,0132
9	panel	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	button,status,image	activate,context_menu	frame	UiHost_embedded_adapter	none	shell.panel	crates/nickel-shell/src/sdl_live_shell.rs::tests	wide,narrow,multi_output,fullscreen	focused_accessibility_verified	focused_pointer_controller_partial	required_pending_multi_output_and_controller	bounded_tray_pixels_and_fixture_replacement_verified	0125,0126,0127,0128,0129,0130,0132
10	notification	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	dialog,button,text	activate,dismiss	frame	UiHost_embedded_adapter	none	shell.notification	crates/nickel-shell/src/sdl_live_shell.rs::tests	no_actions,actions,long_body	dialog_accessibility_verified	focused_keyboard_controller_partial	required_pending_native_transport_and_actions	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130,0132
11	lock	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	textbox,text,status	set_value	frame	UiHost_embedded_adapter	none	shell.lock	crates/nickel-shell/src/sdl_live_shell.rs::tests	empty,password,error	password_textbox_protected_semantics_verified	controller_not_supported_keyboard_required	required_pending_authentication_focus_and_restoration	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130,0132
12	screenshot	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	image,button,status	activate,set_value,dismiss	frame	UiHost_embedded_adapter	none	shell.screenshot	crates/nickel-shell/src/sdl_screenshot.rs::tests	idle,selecting,confirmed,error	focused_accessibility_verified	focused_controller_verified	required_pending_native_capture_clipboard_and_scale	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130,0132
13	window-preview	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	list,listitem,image,button	activate,context_menu,dismiss	frame	UiHost_embedded_adapter	none	shell.window-preview	crates/nickel-shell/src/sdl_window_preview.rs::tests	empty,one,many,missing_preview	focused_accessibility_verified	focused_controller_verified	required_pending_focus_preview_and_dismissal	preview_generation_churn_clear_and_fixture_replacement_verified	0125,0126,0127,0128,0129,0130,0132
14	window-context-menu	nickel-shell	embedded_UiHost	architecture_verified_acceptance_pending	shell	linux_primary_windows_macos_contract	menu,menuitem	activate,dismiss	frame	UiHost_embedded_adapter	none	shared.menus	crates/nickel-shell/src/sdl_window_preview.rs::tests	open,disabled_action,collision	focused_accessibility_verified	focused_controller_verified	required_pending_native_window_actions	fixture_replacement_retained_frame_bound_verified	0125,0126,0127,0128,0129,0130,0132
