surface	platform	modalities	behaviors	controller	status	artifact	sha256	captured_at
ui-examples	linux_windows_macos	pointer,keyboard,controller,accessibility	focus_activation_text_input_resize_scale	fixture_only	pending	none	none	not_captured
markdown-core	not_applicable	keyboard,accessibility	render_semantics_links	not_applicable	not_applicable	none	none	not_applicable
markdown-viewer	linux_windows_macos	pointer,keyboard,accessibility	focus_links_scroll_text_input_resize_scale	not_supported	pending	none	none	not_captured
file-manager	linux_windows_macos	pointer,keyboard,controller,accessibility	focus_navigation_context_menu_actions_resize_scale	fixture_only	pending	none	none	not_captured
gaze-grid	linux_windows_macos	pointer,keyboard,controller,accessibility	focus_recenter_camera_state_resize_scale	fixture_only	pending	none	none	not_captured
settings	linux_windows_macos	pointer,keyboard,controller,accessibility	focus_navigation_drag_scroll_resize_scale_native_effects	required_dualsense	pending	none	none	not_captured
shell-runtime	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	global_input_surface_lifecycle_multi_output_restoration	required_dualsense	pending	none	none	not_captured
desktop	linux_native_windows_macos_contract	pointer,keyboard,accessibility	wallpaper_multi_output_scale_restoration	not_applicable	pending	none	none	not_captured
panel	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	task_activation_tray_context_menu_multi_output	required_dualsense	pending	none	none	not_captured
notification	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	transport_actions_dismissal_focus_restoration	fixture_only	pending	none	none	not_captured
lock	linux_native_windows_macos_contract	keyboard,accessibility	password_focus_authentication_restoration	not_supported	pending	none	none	not_captured
screenshot	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	capture_selection_clipboard_scale_dismissal	fixture_only	pending	none	none	not_captured
window-preview	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	focus_preview_close_dismissal_restoration	fixture_only	pending	none	none	not_captured
window-context-menu	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	window_actions_dismissal_focus_restoration	fixture_only	pending	none	none	not_captured
control-center	linux_native_windows_macos_contract	pointer,keyboard,controller,accessibility	native_effects_scroll_confirmation_dismissal	required_dualsense	pending	none	none	not_captured
codex-project-menu	linux_windows_macos	pointer,keyboard,accessibility	focus_search_dismissal_restoration	not_supported	pending	none	none	not_captured
launcher-dashboard	linux_windows_macos	pointer,touch,keyboard,controller,accessibility	focus_panes_context_menu_pin_logout_multi_output_restoration	required_dualsense	pending	none	none	not_captured
launcher-search	linux_windows_macos	pointer,touch,keyboard,controller,accessibility	focus_ime_scroll_scale_dismissal_restoration	required_dualsense	pending	none	none	not_captured
hosted-codex-chat	linux_windows_macos	pointer,keyboard,accessibility	focus_ime_scroll_context_menu_lifecycle	not_supported	pending	none	none	not_captured
codex-chat	linux_windows_macos	pointer,keyboard,accessibility	focus_ime_scroll_context_menu_resize_scale	not_supported	pending	none	none	not_captured
workbench-custom-paint	not_applicable	accessibility	render_semantics	not_applicable	not_applicable	none	none	not_applicable
